,wall_time,step,value
0,1770769845.527273,500,-197.87734985351562
1,1770769848.6296792,1000,-209.63409423828125
2,1770769851.724154,1500,-186.59243774414062
3,1770769854.848238,2000,-174.39122009277344
4,1770769857.938556,2500,-196.956787109375
5,1770769860.8921258,3000,-221.37109375
6,1770769863.858346,3500,-236.01100158691406
7,1770769866.9331,4000,-237.83206176757812
8,1770769870.0221,4500,-243.63612365722656
9,1770769873.106349,5000,-252.81350708007812
10,1770769876.1764202,5500,-262.510986328125
11,1770769879.289545,6000,-259.69757080078125
12,1770769882.342718,6500,-259.6521911621094
13,1770769885.326197,7000,-249.77610778808594
14,1770769888.4114938,7500,-265.162109375
15,1770769891.5493062,8000,-267.37200927734375
16,1770769894.656429,8500,-263.3899230957031
17,1770769897.739698,9000,-260.76434326171875
18,1770769900.8094451,9500,-257.6662902832031
19,1770769903.9270809,10000,-259.6232604980469
20,1770769906.8195379,10500,-253.89793395996094
21,1770769909.937858,11000,-252.5065460205078
22,1770769913.054872,11500,-254.25961303710938
23,1770769916.1535711,12000,-257.5104675292969
24,1770769919.2525241,12500,-260.6884460449219
25,1770769922.278662,13000,-266.6559753417969
26,1770769925.392301,13500,-271.2355651855469
27,1770769928.3036952,14000,-276.1102600097656
28,1770769931.384736,14500,-277.88031005859375
29,1770769934.518759,15000,-280.3188171386719
30,1770769937.6399748,15500,-281.061767578125
31,1770769940.749825,16000,-281.5249328613281
32,1770769943.8390138,16500,-284.045654296875
33,1770769946.9192479,17000,-283.60272216796875
34,1770769949.9893918,17500,-281.6285400390625
35,1770769952.790424,18000,-281.284912109375
36,1770769955.868978,18500,-282.307373046875
37,1770769958.9528372,19000,-287.5912170410156
38,1770769962.020468,19500,-290.1087646484375
39,1770769965.086625,20000,-291.7321472167969
40,1770769968.170091,20500,-295.8254089355469
41,1770769971.2265651,21000,-298.9813232421875
42,1770769974.145516,21500,-295.7412414550781
43,1770769977.220555,22000,-293.59307861328125
44,1770769980.299985,22500,-294.6260070800781
45,1770769983.380367,23000,-293.2197570800781
46,1770769986.548032,23500,-301.24432373046875
47,1770769989.690943,24000,-305.038330078125
48,1770769992.851136,24500,-308.0150146484375
49,1770769995.8927171,25000,-315.0968933105469
50,1770769998.964884,25500,-315.39288330078125
51,1770770002.08238,26000,-317.839599609375
52,1770770005.1878898,26500,-322.7850341796875
53,1770770008.2838972,27000,-322.5186462402344
54,1770770011.435942,27500,-321.0151672363281
55,1770770014.5737228,28000,-323.3101806640625
56,1770770017.646875,28500,-320.74517822265625
57,1770770020.577259,29000,-322.01873779296875
58,1770770023.6839511,29500,-325.84014892578125
59,1770770026.766121,30000,-324.6077575683594
60,1770770029.861556,30500,-328.9968566894531
61,1770770032.960387,31000,-335.2469787597656
62,1770770036.064584,31500,-333.8790588378906
63,1770770039.1356459,32000,-333.8790588378906
64,1770770042.041197,32500,-326.050537109375
65,1770770045.137053,33000,-326.28857421875
66,1770770048.2414541,33500,-328.7149353027344
67,1770770051.361196,34000,-319.38983154296875
68,1770770054.4429362,34500,-315.430419921875
69,1770770057.507722,35000,-318.0016174316406
70,1770770060.615623,35500,-310.8498229980469
71,1770770063.579604,36000,-306.0647888183594
72,1770770066.4204311,36500,-305.97015380859375
73,1770770069.402519,37000,-306.22503662109375
74,1770770072.5088792,37500,-307.50927734375
75,1770770075.550613,38000,-311.3973693847656
76,1770770078.6368809,38500,-309.81402587890625
77,1770770081.716706,39000,-312.5682067871094
78,1770770084.811383,39500,-312.14312744140625
79,1770770087.7742348,40000,-315.0008544921875
80,1770770090.85253,40500,-319.9063720703125
81,1770770093.959668,41000,-315.99261474609375
82,1770770097.064611,41500,-316.7502746582031
83,1770770100.1708312,42000,-324.26385498046875
84,1770770103.243007,42500,-320.8271789550781
85,1770770106.31316,43000,-327.607177734375
86,1770770109.305731,43500,-323.671630859375
87,1770770112.4373708,44000,-323.483642578125
88,1770770115.5805151,44500,-321.7502136230469
89,1770770118.710227,45000,-328.6026611328125
90,1770770121.820757,45500,-327.1800537109375
91,1770770124.907385,46000,-328.2918395996094
92,1770770127.931963,46500,-331.98480224609375
93,1770770130.857239,47000,-336.66375732421875
94,1770770133.931325,47500,-342.469970703125
95,1770770137.009781,48000,-340.49444580078125
96,1770770140.14704,48500,-340.58477783203125
97,1770770143.22931,49000,-344.38848876953125
98,1770770146.357334,49500,-354.3443298339844
99,1770770149.4211462,50000,-356.3702697753906
100,1770770152.515908,50500,-358.3251953125
101,1770770155.452513,51000,-363.3277587890625
102,1770770158.567879,51500,-373.07537841796875
103,1770770161.6421492,52000,-377.8037109375
104,1770770164.749918,52500,-377.6767578125
105,1770770167.8606012,53000,-377.8365173339844
106,1770770170.9476008,53500,-378.016845703125
107,1770770174.015799,54000,-378.3976135253906
108,1770770176.95502,54500,-383.12042236328125
109,1770770180.072973,55000,-376.9555358886719
110,1770770183.172811,55500,-381.6817932128906
111,1770770186.270488,56000,-382.3061218261719
112,1770770189.366705,56500,-381.3292236328125
113,1770770192.474594,57000,-384.4852600097656
114,1770770195.579338,57500,-386.9771423339844
115,1770770198.4939141,58000,-386.215087890625
116,1770770201.585967,58500,-387.2450866699219
117,1770770204.688885,59000,-388.731689453125
118,1770770207.767367,59500,-383.74981689453125
119,1770770210.875287,60000,-385.3665466308594
120,1770770214.009355,60500,-378.1124267578125
121,1770770217.128609,61000,-380.2710266113281
122,1770770220.23295,61500,-381.4182434082031
123,1770770223.1526191,62000,-392.8012390136719
124,1770770226.261527,62500,-389.586669921875
125,1770770229.3662899,63000,-388.8773193359375
126,1770770232.4259598,63500,-387.7634582519531
127,1770770235.51409,64000,-387.9113464355469
128,1770770238.62496,64500,-382.393310546875
129,1770770241.742979,65000,-378.2938232421875
130,1770770244.690068,65500,-380.5440673828125
131,1770770247.756309,66000,-378.1854248046875
132,1770770250.840318,66500,-376.91412353515625
133,1770770253.930762,67000,-367.6266784667969
134,1770770257.0502112,67500,-364.8513488769531
135,1770770260.178091,68000,-362.2033386230469
136,1770770263.30976,68500,-365.1402893066406
137,1770770266.241888,69000,-362.07391357421875
138,1770770269.3363461,69500,-367.4794006347656
139,1770770272.443224,70000,-368.491455078125
140,1770770275.5756512,70500,-374.1659851074219
141,1770770278.643303,71000,-383.009033203125
142,1770770281.776542,71500,-377.4259338378906
143,1770770284.898644,72000,-377.972900390625
144,1770770287.999886,72500,-375.946533203125
145,1770770290.9118679,73000,-373.2774658203125
146,1770770293.995599,73500,-373.1058349609375
147,1770770297.118193,74000,-365.4307556152344
148,1770770300.2340102,74500,-363.88848876953125
149,1770770303.3094568,75000,-365.4350280761719
150,1770770306.391348,75500,-360.4814147949219
151,1770770309.475688,76000,-357.96368408203125
152,1770770312.430451,76500,-361.1083984375
153,1770770315.539636,77000,-358.01226806640625
154,1770770318.6163,77500,-356.70587158203125
155,1770770321.7229419,78000,-357.2364501953125
156,1770770324.789633,78500,-358.689453125
157,1770770327.84988,79000,-359.43804931640625
158,1770770330.913345,79500,-354.9394836425781
159,1770770333.972924,80000,-353.70648193359375
160,1770770336.782079,80500,-349.87554931640625
161,1770770339.904625,81000,-348.2232971191406
162,1770770343.044327,81500,-346.77764892578125
163,1770770346.176855,82000,-345.43048095703125
164,1770770349.282346,82500,-340.4583435058594
165,1770770352.3834949,83000,-341.91888427734375
166,1770770355.468755,83500,-340.225341796875
167,1770770358.394346,84000,-342.5780944824219
168,1770770361.534227,84500,-346.014892578125
169,1770770364.725837,85000,-345.6955871582031
170,1770770367.834312,85500,-340.30975341796875
171,1770770370.8757179,86000,-341.93438720703125
172,1770770373.954984,86500,-339.3385009765625
173,1770770377.068225,87000,-341.6401672363281
174,1770770380.0453491,87500,-341.19036865234375
175,1770770383.149652,88000,-342.3591003417969
176,1770770386.2510238,88500,-345.1500244140625
177,1770770389.347467,89000,-348.430908203125
178,1770770392.4237728,89500,-353.501953125
179,1770770395.538879,90000,-347.8338317871094
180,1770770398.602017,90500,-348.1640930175781
181,1770770401.52259,91000,-348.1640930175781
182,1770770404.654704,91500,-346.31842041015625
183,1770770407.762611,92000,-354.4869079589844
184,1770770410.849637,92500,-352.268310546875
185,1770770413.937579,93000,-356.5901184082031
186,1770770417.0643892,93500,-362.4936828613281
187,1770770420.199498,94000,-364.42388916015625
188,1770770423.326723,94500,-369.0723876953125
189,1770770426.131867,95000,-373.4438171386719
190,1770770429.079221,95500,-376.0500793457031
191,1770770432.1897101,96000,-380.1484375
192,1770770435.316886,96500,-377.7832946777344
193,1770770438.411167,97000,-381.4358825683594
194,1770770441.5030668,97500,-387.4037780761719
195,1770770444.251764,98000,-387.8782043457031
196,1770770447.104449,98500,-388.9285888671875
197,1770770450.226309,99000,-389.8262939453125
198,1770770453.353778,99500,-393.5858459472656
199,1770770456.4412491,100000,-395.9776916503906
200,1770770459.540395,100500,-399.1949462890625
201,1770770462.6368399,101000,-401.54144287109375
202,1770770465.7415628,101500,-406.5395812988281
203,1770770468.71735,102000,-402.0827331542969
204,1770770471.8176699,102500,-404.9503173828125
205,1770770474.890879,103000,-405.18408203125
206,1770770478.0344331,103500,-405.18408203125
207,1770770481.145681,104000,-404.8871765136719
208,1770770484.2724879,104500,-409.3777160644531
209,1770770487.3943639,105000,-409.0394287109375
210,1770770490.548751,105500,-407.5568542480469
211,1770770493.471349,106000,-402.05133056640625
212,1770770496.598094,106500,-402.51068115234375
213,1770770499.7087958,107000,-407.4551696777344
214,1770770502.825269,107500,-406.10345458984375
215,1770770505.946242,108000,-406.56280517578125
216,1770770509.032366,108500,-408.0582580566406
217,1770770512.151253,109000,-415.3611755371094
218,1770770515.10795,109500,-419.633544921875
219,1770770518.21031,110000,-422.19915771484375
220,1770770521.287148,110500,-424.76495361328125
221,1770770524.3749871,111000,-425.44140625
222,1770770527.484076,111500,-421.5132141113281
223,1770770530.592682,112000,-424.9338073730469
224,1770770533.6558049,112500,-425.3106384277344
225,1770770536.524011,113000,-425.5518798828125
226,1770770539.638819,113500,-422.4921569824219
227,1770770542.75346,114000,-414.12493896484375
228,1770770545.8630521,114500,-415.0199279785156
229,1770770548.9478312,115000,-409.6869201660156
230,1770770552.07491,115500,-412.1044921875
231,1770770555.176663,116000,-412.1044921875
232,1770770558.1568289,116500,-403.84326171875
233,1770770561.223031,117000,-412.5267333984375
234,1770770564.3055842,117500,-415.2667236328125
235,1770770567.356711,118000,-417.7928771972656
236,1770770570.4336572,118500,-419.1560974121094
237,1770770573.503892,119000,-416.41070556640625
238,1770770576.614412,119500,-413.4156188964844
239,1770770579.725993,120000,-410.1665954589844
240,1770770582.6469388,120500,-411.048095703125
241,1770770585.752466,121000,-410.692138671875
242,1770770588.65561,121500,-408.32464599609375
243,1770770591.5694,122000,-406.2488708496094
244,1770770594.032331,122500,-405.6304016113281
245,1770770596.908907,123000,-402.0795593261719
246,1770770599.7161431,123500,-406.0250244140625
247,1770770602.42188,124000,-402.9033203125
248,1770770604.604683,124500,-401.0085754394531
249,1770770607.5149372,125000,-398.8963623046875
250,1770770610.4321642,125500,-393.6429443359375
251,1770770613.3472798,126000,-400.6051330566406
252,1770770616.420414,126500,-396.3059997558594
253,1770770619.496914,127000,-393.9922180175781
254,1770770622.511583,127500,-399.3179931640625
255,1770770625.433378,128000,-394.7728576660156
256,1770770628.4572852,128500,-395.77618408203125
257,1770770631.517073,129000,-392.27001953125
258,1770770634.648173,129500,-383.4356384277344
259,1770770637.776501,130000,-382.693359375
260,1770770640.893311,130500,-386.6376647949219
261,1770770643.9901052,131000,-390.8175354003906
262,1770770647.06178,131500,-390.9732971191406
263,1770770649.95211,132000,-393.75799560546875
264,1770770653.0151958,132500,-393.8127136230469
265,1770770656.104929,133000,-390.0117492675781
266,1770770659.169047,133500,-389.7189025878906
267,1770770662.222503,134000,-383.2430725097656
268,1770770665.275102,134500,-377.6178283691406
269,1770770668.354982,135000,-377.521728515625
270,1770770671.3492491,135500,-380.3858642578125
271,1770770674.4412968,136000,-376.6354675292969
272,1770770677.567443,136500,-376.6354675292969
273,1770770680.704884,137000,-372.1474609375
274,1770770683.842114,137500,-371.45819091796875
275,1770770686.946523,138000,-374.47576904296875
276,1770770690.0347269,138500,-374.8677978515625
277,1770770693.135992,139000,-375.2161865234375
278,1770770696.0232,139500,-373.83636474609375
279,1770770699.104177,140000,-372.9139099121094
280,1770770702.232678,140500,-376.5502014160156
281,1770770705.363602,141000,-375.5309143066406
282,1770770708.456515,141500,-371.69171142578125
283,1770770711.5320928,142000,-373.4059143066406
284,1770770714.6240342,142500,-366.44659423828125
285,1770770717.500323,143000,-367.7161560058594
286,1770770720.639947,143500,-366.6170349121094
287,1770770723.69664,144000,-363.40887451171875
288,1770770726.7574122,144500,-357.822998046875
289,1770770729.820831,145000,-355.9783630371094
290,1770770732.772979,145500,-360.29815673828125
291,1770770735.662278,146000,-367.2585144042969
292,1770770738.5802171,146500,-367.6927185058594
293,1770770741.646892,147000,-366.96600341796875
294,1770770744.718762,147500,-371.84954833984375
295,1770770747.8247051,148000,-369.68243408203125
296,1770770750.897386,148500,-369.1119689941406
297,1770770753.987486,149000,-370.78912353515625
298,1770770757.072744,149500,-371.332275390625
299,1770770760.1632159,150000,-370.8237609863281
300,1770770763.10364,150500,-367.6291809082031
301,1770770766.231075,151000,-373.7580871582031
302,1770770769.308291,151500,-374.4989318847656
303,1770770772.3802571,152000,-375.736572265625
304,1770770775.479687,152500,-381.12548828125
305,1770770778.555616,153000,-387.15142822265625
306,1770770781.652707,153500,-391.627197265625
307,1770770784.587994,154000,-396.7739562988281
308,1770770787.634573,154500,-397.4393615722656
309,1770770790.7027352,155000,-397.4393615722656
310,1770770793.7856011,155500,-392.1736145019531
311,1770770796.879854,156000,-395.5550842285156
312,1770770799.957216,156500,-394.6455993652344
313,1770770803.033947,157000,-400.5447998046875
314,1770770805.957029,157500,-400.12432861328125
315,1770770809.030808,158000,-399.31500244140625
316,1770770812.1412108,158500,-400.0438232421875
317,1770770815.2308748,159000,-398.4259033203125
318,1770770818.335687,159500,-398.7518615722656
319,1770770821.444284,160000,-397.9971618652344
320,1770770824.5734148,160500,-397.9957580566406
