,wall_time,step,value
0,1770759335.8139122,500,-298.5887145996094
1,1770759337.62691,1000,-177.31211853027344
2,1770759339.429117,1500,-169.61865234375
3,1770759341.230626,2000,-177.5865936279297
4,1770759343.0318022,2500,-170.89947509765625
5,1770759344.876301,3000,-172.58106994628906
6,1770759346.503968,3500,-162.5655059814453
7,1770759348.224051,4000,-157.92726135253906
8,1770759350.019255,4500,-154.07159423828125
9,1770759351.825341,5000,-149.74537658691406
10,1770759353.6309729,5500,-150.74349975585938
11,1770759355.434788,6000,-148.584716796875
12,1770759357.232115,6500,-150.2540740966797
13,1770759359.031193,7000,-147.8729248046875
14,1770759360.8348758,7500,-149.62522888183594
15,1770759362.637624,8000,-154.93670654296875
16,1770759364.4419131,8500,-158.1590576171875
17,1770759366.248599,9000,-159.61666870117188
18,1770759368.084616,9500,-164.29574584960938
19,1770759369.898096,10000,-156.42068481445312
20,1770759371.708906,10500,-165.17417907714844
21,1770759373.514745,11000,-170.42994689941406
22,1770759375.325375,11500,-169.85205078125
23,1770759377.136693,12000,-169.80990600585938
24,1770759378.947652,12500,-173.87110900878906
25,1770759380.758477,13000,-183.5687713623047
26,1770759382.5699599,13500,-185.31710815429688
27,1770759384.379452,14000,-189.23403930664062
28,1770759386.190868,14500,-191.224365234375
29,1770759388.0015402,15000,-194.47215270996094
30,1770759389.8106391,15500,-201.04119873046875
31,1770759391.6610932,16000,-205.06317138671875
32,1770759393.471655,16500,-212.28219604492188
33,1770759395.2829518,17000,-211.56895446777344
34,1770759397.095708,17500,-207.3967742919922
35,1770759398.905008,18000,-205.87237548828125
36,1770759400.718016,18500,-208.7682647705078
37,1770759402.531785,19000,-200.7488250732422
38,1770759404.342939,19500,-202.18753051757812
39,1770759406.1589708,20000,-198.99923706054688
40,1770759407.971832,20500,-194.94033813476562
41,1770759409.784253,21000,-190.2024688720703
42,1770759411.602713,21500,-193.43556213378906
43,1770759413.416853,22000,-187.59417724609375
44,1770759415.29552,22500,-183.24642944335938
45,1770759417.102551,23000,-182.74354553222656
46,1770759418.914112,23500,-190.04986572265625
47,1770759420.676267,24000,-184.13697814941406
48,1770759422.47765,24500,-183.32778930664062
49,1770759424.293907,25000,-180.356201171875
50,1770759426.1038861,25500,-173.17152404785156
51,1770759427.914743,26000,-176.9904022216797
52,1770759429.713463,26500,-173.93084716796875
53,1770759431.5251179,27000,-176.56192016601562
54,1770759433.3367481,27500,-174.59373474121094
55,1770759435.1469781,28000,-175.96572875976562
56,1770759436.961164,28500,-181.50759887695312
57,1770759438.835993,29000,-180.19769287109375
58,1770759440.644209,29500,-182.722412109375
59,1770759442.45617,30000,-186.3106231689453
60,1770759444.2686431,30500,-181.8064422607422
61,1770759446.083143,31000,-181.85421752929688
62,1770759447.8831801,31500,-179.62628173828125
63,1770759449.689046,32000,-177.3031005859375
64,1770759451.502181,32500,-169.00149536132812
65,1770759453.316514,33000,-169.75588989257812
66,1770759455.1275551,33500,-169.644287109375
67,1770759456.943156,34000,-170.17507934570312
68,1770759458.6538491,34500,-173.8865966796875
69,1770759460.396773,35000,-173.39222717285156
70,1770759462.189118,35500,-174.20779418945312
71,1770759463.923434,36000,-174.95709228515625
72,1770759465.6358788,36500,-175.39053344726562
73,1770759467.348578,37000,-176.4877166748047
74,1770759469.052477,37500,-175.58302307128906
75,1770759470.769238,38000,-169.0432891845703
76,1770759472.498561,38500,-169.79013061523438
77,1770759474.231008,39000,-170.07142639160156
78,1770759475.963819,39500,-179.30897521972656
79,1770759477.689295,40000,-178.7288055419922
80,1770759479.42072,40500,-180.0932159423828
81,1770759481.1560671,41000,-177.23886108398438
82,1770759482.884201,41500,-177.41717529296875
83,1770759484.596757,42000,-177.4912567138672
84,1770759486.436645,42500,-176.93658447265625
85,1770759488.1518888,43000,-181.57363891601562
86,1770759489.8724852,43500,-184.0515899658203
87,1770759491.588829,44000,-187.2222900390625
88,1770759493.315926,44500,-188.505615234375
89,1770759495.05535,45000,-187.59722900390625
90,1770759496.799344,45500,-192.58447265625
91,1770759498.540652,46000,-188.95782470703125
92,1770759500.276242,46500,-192.32720947265625
93,1770759501.994244,47000,-199.56161499023438
94,1770759503.769748,47500,-197.9604949951172
95,1770759505.584555,48000,-201.68959045410156
96,1770759507.391538,48500,-200.13511657714844
97,1770759509.305471,49000,-199.26487731933594
98,1770759511.1175811,49500,-199.83367919921875
99,1770759512.9326668,50000,-197.85704040527344
100,1770759514.747287,50500,-198.7928009033203
101,1770759516.560896,51000,-205.9099884033203
102,1770759518.378491,51500,-204.60707092285156
103,1770759520.190068,52000,-204.90989685058594
104,1770759522.002304,52500,-206.89866638183594
105,1770759523.8162282,53000,-201.32899475097656
106,1770759525.625977,53500,-197.08029174804688
107,1770759527.4325602,54000,-202.54705810546875
108,1770759529.236919,54500,-196.78433227539062
109,1770759531.036884,55000,-192.7478485107422
110,1770759532.917279,55500,-191.87652587890625
111,1770759534.729595,56000,-190.58871459960938
112,1770759536.542984,56500,-190.97174072265625
113,1770759538.349487,57000,-189.90713500976562
114,1770759540.161767,57500,-187.43821716308594
115,1770759541.978901,58000,-186.1457061767578
116,1770759543.795027,58500,-183.9613800048828
117,1770759545.6117592,59000,-182.66006469726562
118,1770759547.413504,59500,-176.86460876464844
119,1770759549.212961,60000,-178.4588165283203
120,1770759551.030603,60500,-177.84288024902344
121,1770759552.8532119,61000,-180.4160919189453
122,1770759554.724014,61500,-190.1160888671875
123,1770759556.5333362,62000,-189.692138671875
124,1770759558.341345,62500,-187.1551513671875
125,1770759560.149968,63000,-181.40142822265625
126,1770759561.939032,63500,-176.44874572753906
127,1770759563.728673,64000,-181.05270385742188
128,1770759565.5427709,64500,-182.00506591796875
129,1770759567.348567,65000,-182.90728759765625
130,1770759569.160813,65500,-178.55557250976562
131,1770759570.8568661,66000,-178.44662475585938
132,1770759572.5203068,66500,-181.76890563964844
133,1770759574.339401,67000,-184.99046325683594
134,1770759576.161999,67500,-185.01559448242188
135,1770759578.040672,68000,-180.411865234375
136,1770759579.843999,68500,-183.3824005126953
137,1770759581.6549718,69000,-187.59080505371094
138,1770759583.4631739,69500,-191.6903839111328
139,1770759585.2725601,70000,-189.25201416015625
140,1770759587.0840452,70500,-178.89820861816406
141,1770759588.896947,71000,-172.3637237548828
142,1770759590.710388,71500,-176.96017456054688
143,1770759592.5200698,72000,-177.55958557128906
144,1770759594.325691,72500,-180.49887084960938
145,1770759596.140159,73000,-181.8307647705078
146,1770759597.946424,73500,-179.788330078125
147,1770759599.755152,74000,-186.3063507080078
148,1770759601.636949,74500,-187.8635711669922
149,1770759603.450596,75000,-187.64808654785156
150,1770759605.2632499,75500,-186.1632843017578
151,1770759607.137353,76000,-184.6417236328125
152,1770759608.946822,76500,-180.6958465576172
153,1770759610.75337,77000,-180.10577392578125
154,1770759612.564862,77500,-186.27874755859375
155,1770759614.376868,78000,-187.59811401367188
156,1770759616.1910772,78500,-193.0821075439453
157,1770759618.005312,79000,-189.95654296875
158,1770759619.821287,79500,-192.80258178710938
159,1770759621.637378,80000,-199.2169647216797
160,1770759623.452666,80500,-203.51345825195312
161,1770759625.370034,81000,-204.1035919189453
162,1770759627.1758301,81500,-201.92556762695312
163,1770759628.9739919,82000,-199.61334228515625
164,1770759630.789533,82500,-195.5618438720703
165,1770759632.597366,83000,-200.6020965576172
166,1770759634.4071739,83500,-197.7440185546875
167,1770759636.210463,84000,-198.30288696289062
168,1770759638.028533,84500,-201.871826171875
169,1770759639.843324,85000,-208.32554626464844
170,1770759641.660807,85500,-212.2692413330078
171,1770759643.553101,86000,-215.51670837402344
172,1770759645.406131,86500,-212.66078186035156
173,1770759647.277649,87000,-209.0621337890625
174,1770759649.084243,87500,-211.8196563720703
175,1770759650.890474,88000,-213.97547912597656
176,1770759652.696241,88500,-213.61669921875
177,1770759654.5076191,89000,-208.74671936035156
178,1770759656.319335,89500,-200.6708984375
179,1770759658.124228,90000,-204.72593688964844
180,1770759659.940664,90500,-201.885498046875
181,1770759661.751689,91000,-199.27593994140625
182,1770759663.562149,91500,-197.7393798828125
183,1770759665.379028,92000,-201.24363708496094
184,1770759667.192191,92500,-197.67965698242188
185,1770759669.0052512,93000,-197.2180633544922
186,1770759670.8893921,93500,-196.6162567138672
187,1770759672.703181,94000,-195.73965454101562
188,1770759674.507605,94500,-190.1456298828125
189,1770759676.315886,95000,-186.17318725585938
190,1770759678.131052,95500,-177.78453063964844
191,1770759679.9432151,96000,-173.7559814453125
192,1770759681.7569978,96500,-177.07582092285156
193,1770759683.571292,97000,-182.39500427246094
194,1770759685.386962,97500,-183.09417724609375
195,1770759687.186749,98000,-178.46676635742188
196,1770759689.002529,98500,-181.16036987304688
197,1770759690.714685,99000,-183.56748962402344
198,1770759692.3448708,99500,-184.38507080078125
199,1770759694.240187,100000,-175.39036560058594
200,1770759696.0567522,100500,-171.9537811279297
