,wall_time,step,value
0,1770759101.8606348,404,-159.4217529296875
1,1770759102.1260958,801,-199.2848358154297
2,1770759102.387118,1184,-237.77175903320312
3,1770759102.666353,1582,-235.89813232421875
4,1770759102.970318,2014,-230.1353759765625
5,1770759103.267671,2427,-231.5895538330078
6,1770759103.592544,2871,-234.54830932617188
7,1770759103.8691452,3249,-220.0565185546875
8,1770759104.125236,3598,-224.09703063964844
9,1770759104.4544058,4036,-224.89210510253906
10,1770759104.778976,4463,-230.6943817138672
11,1770759105.144129,4932,-235.42996215820312
12,1770759105.538303,5415,-246.99452209472656
13,1770759105.9763992,5956,-247.56640625
14,1770759106.3373141,6398,-248.6295928955078
15,1770759106.705624,6842,-253.93368530273438
16,1770759107.108086,7320,-249.51596069335938
17,1770759107.524019,7804,-255.5122833251953
18,1770759107.891697,8241,-252.9667510986328
19,1770759108.307062,8718,-259.97039794921875
20,1770759108.844854,9315,-263.3677673339844
21,1770759109.3759081,9904,-268.752197265625
22,1770759110.048244,10626,-285.022216796875
23,1770759110.436318,11032,-287.4127502441406
24,1770759110.9138649,11537,-292.74951171875
25,1770759111.636108,12280,-309.1493835449219
26,1770759112.345272,13009,-324.4733581542969
27,1770759112.96641,13636,-334.7652893066406
28,1770759113.656594,14316,-345.7979431152344
29,1770759114.389927,15016,-366.7936096191406
30,1770759114.951985,15552,-383.17919921875
31,1770759115.460216,16018,-394.9923400878906
32,1770759115.912742,16439,-416.16064453125
33,1770759116.461094,16940,-431.15728759765625
34,1770759116.9402492,17376,-447.8275451660156
35,1770759117.362747,17753,-460.7983703613281
36,1770759117.846282,18181,-473.4649353027344
37,1770759118.287564,18567,-484.1512145996094
38,1770759118.667632,18895,-498.4557800292969
39,1770759119.076013,19242,-515.6871948242188
40,1770759119.4465861,19560,-525.80126953125
41,1770759119.8317828,19886,-544.8500366210938
42,1770759120.288486,20269,-558.4971923828125
43,1770759120.630743,20558,-576.12548828125
44,1770759121.002678,20873,-586.099853515625
45,1770759121.312814,21135,-598.827880859375
46,1770759121.736376,21489,-610.391357421875
47,1770759122.102293,21801,-610.2943115234375
48,1770759122.4908018,22131,-622.3822631835938
49,1770759122.8599439,22443,-619.9683227539062
50,1770759123.2154062,22745,-621.3961791992188
51,1770759123.555703,23037,-616.5751953125
52,1770759123.936855,23362,-616.490966796875
53,1770759124.335598,23698,-612.0672607421875
54,1770759124.6952078,24003,-603.112060546875
55,1770759125.053657,24305,-596.2268676757812
56,1770759125.411042,24609,-595.0408935546875
57,1770759125.739634,24892,-583.9590454101562
58,1770759126.102433,25199,-577.8809814453125
59,1770759126.43637,25480,-561.395263671875
60,1770759126.819307,25804,-545.6043701171875
61,1770759127.182606,26111,-535.3670654296875
62,1770759127.4895418,26371,-516.0061645507812
63,1770759127.879071,26698,-503.9799499511719
64,1770759128.202104,26970,-487.42803955078125
65,1770759128.638043,27338,-475.3741455078125
66,1770759128.962986,27613,-453.54351806640625
67,1770759129.260899,27868,-435.81689453125
68,1770759129.59351,28149,-421.1250305175781
69,1770759129.970685,28465,-410.61370849609375
70,1770759130.288511,28735,-396.05621337890625
71,1770759130.649123,29039,-377.52288818359375
72,1770759131.011095,29344,-361.7895812988281
73,1770759131.37087,29644,-345.4763488769531
74,1770759131.724393,29942,-344.48785400390625
75,1770759132.107136,30264,-327.70977783203125
76,1770759132.4847171,30583,-313.0429382324219
77,1770759132.81626,30863,-302.5923767089844
78,1770759133.1913018,31180,-293.6453552246094
79,1770759133.601461,31529,-281.4323425292969
80,1770759133.92191,31806,-272.5751953125
81,1770759134.295798,32122,-260.0860290527344
82,1770759134.617305,32403,-256.9491271972656
83,1770759134.940136,32674,-249.185791015625
84,1770759135.364894,33036,-246.33592224121094
85,1770759135.6962838,33314,-246.47042846679688
86,1770759136.079259,33635,-240.21620178222656
87,1770759136.535746,34021,-236.92066955566406
88,1770759136.906465,34330,-231.9259796142578
89,1770759137.300742,34664,-231.28140258789062
90,1770759137.651469,34959,-228.4017333984375
91,1770759137.976481,35233,-237.50772094726562
92,1770759138.3569448,35546,-235.97682189941406
93,1770759138.664448,35800,-235.29844665527344
94,1770759139.004155,36088,-231.43861389160156
95,1770759139.48145,36488,-223.41847229003906
96,1770759139.7887628,36747,-223.01084899902344
97,1770759140.145854,37047,-220.82162475585938
