,wall_time,step,value
0,1770758317.7510788,2048,-151.2909393310547
1,1770758326.032795,4096,-171.14273071289062
2,1770758334.33057,6144,-185.4195556640625
3,1770758342.488466,8192,-185.38963317871094
4,1770758350.384196,10240,-188.34848022460938
5,1770758358.551008,12288,-176.55853271484375
6,1770758366.770808,14336,-182.84762573242188
7,1770758375.0374432,16384,-172.2456512451172
8,1770758383.399443,18432,-193.40689086914062
9,1770758391.551271,20480,-186.71153259277344
10,1770758399.625995,22528,-190.82798767089844
11,1770758407.871138,24576,-190.57070922851562
12,1770758415.47838,26624,-183.97909545898438
13,1770758423.8866189,28672,-187.507080078125
14,1770758432.046877,30720,-187.98876953125
15,1770758440.2641861,32768,-194.48501586914062
16,1770758448.279781,34816,-191.7823486328125
17,1770758455.95722,36864,-185.51898193359375
18,1770758464.352776,38912,-178.4869384765625
19,1770758472.0696058,40960,-178.8576202392578
20,1770758480.020305,43008,-160.46612548828125
21,1770758488.013807,45056,-172.45411682128906
22,1770758496.469194,47104,-162.2397918701172
23,1770758504.376412,49152,-162.4264678955078
24,1770758512.66305,51200,-180.72247314453125
25,1770758520.934996,53248,-205.27867126464844
26,1770758529.119148,55296,-186.05918884277344
27,1770758537.3318248,57344,-187.70547485351562
28,1770758545.654367,59392,-185.94920349121094
29,1770758553.890594,61440,-170.74505615234375
30,1770758562.10408,63488,-179.0153045654297
31,1770758570.441196,65536,-173.45851135253906
32,1770758578.7777762,67584,-173.771728515625
33,1770758587.0958452,69632,-174.162841796875
34,1770758595.4268968,71680,-165.26527404785156
35,1770758603.6707551,73728,-169.08926391601562
36,1770758611.915811,75776,-173.5369873046875
37,1770758620.357447,77824,-168.6441192626953
38,1770758628.18132,79872,-180.11285400390625
39,1770758635.467409,81920,-184.7774658203125
40,1770758643.5385978,83968,-188.91189575195312
41,1770758651.486411,86016,-199.8128662109375
42,1770758659.935903,88064,-204.7317352294922
43,1770758667.78446,90112,-207.01739501953125
44,1770758676.083437,92160,-198.0630340576172
45,1770758684.49716,94208,-196.1139373779297
46,1770758692.96105,96256,-193.68260192871094
47,1770758701.140722,98304,-179.96188354492188
48,1770758709.175686,100352,-171.5464630126953
49,1770758717.414704,102400,-167.7264404296875
50,1770758725.163007,104448,-173.17071533203125
51,1770758732.631532,106496,-175.36026000976562
52,1770758740.547986,108544,-183.9933319091797
53,1770758748.22591,110592,-190.83001708984375
54,1770758756.215793,112640,-190.39646911621094
55,1770758764.042185,114688,-191.38900756835938
56,1770758772.0265012,116736,-194.13607788085938
57,1770758779.905312,118784,-193.4219512939453
58,1770758787.569723,120832,-203.81771850585938
59,1770758795.6243699,122880,-193.2084503173828
60,1770758803.772984,124928,-188.56764221191406
61,1770758811.600609,126976,-184.69422912597656
62,1770758819.573219,129024,-160.97518920898438
63,1770758827.624931,131072,-164.44908142089844
64,1770758835.385138,133120,-170.13963317871094
65,1770758843.39094,135168,-163.60301208496094
66,1770758851.1389089,137216,-159.58502197265625
67,1770758859.001836,139264,-172.02296447753906
68,1770758867.083101,141312,-171.58140563964844
69,1770758874.917995,143360,-181.3494415283203
70,1770758882.837876,145408,-191.32191467285156
71,1770758890.794229,147456,-181.37649536132812
72,1770758898.682074,149504,-180.80555725097656
73,1770758906.4339619,151552,-181.81655883789062
74,1770758914.348477,153600,-181.3125762939453
75,1770758922.286502,155648,-178.5736846923828
76,1770758930.185209,157696,-174.7509002685547
77,1770758938.2547672,159744,-167.78900146484375
78,1770758946.249952,161792,-173.0522918701172
79,1770758954.1401,163840,-180.34461975097656
80,1770758961.977176,165888,-198.58946228027344
81,1770758969.941765,167936,-200.99595642089844
82,1770758977.5047061,169984,-193.97474670410156
83,1770758985.465875,172032,-193.7384796142578
84,1770758993.489829,174080,-189.0552978515625
85,1770759001.0839272,176128,-184.99293518066406
86,1770759009.084192,178176,-192.09457397460938
87,1770759017.211371,180224,-189.80682373046875
88,1770759025.220893,182272,-193.73690795898438
89,1770759033.404701,184320,-187.81483459472656
90,1770759041.345286,186368,-187.18411254882812
91,1770759049.3575318,188416,-174.5036163330078
92,1770759057.596538,190464,-178.41067504882812
93,1770759065.86795,192512,-187.74388122558594
94,1770759074.092623,194560,-187.087890625
95,1770759082.251185,196608,-194.49391174316406
96,1770759090.457919,198656,-193.82772827148438
97,1770759098.751307,200704,-181.82252502441406
