,wall_time,step,value
0,1770786018.031749,500,-499.7731628417969
1,1770786021.061908,1000,-430.74725341796875
2,1770786024.1309068,1500,-411.1529235839844
3,1770786027.208522,2000,-401.13372802734375
4,1770786030.2393,2500,-388.3333740234375
5,1770786033.337603,3000,-379.5520324707031
6,1770786036.442425,3500,-373.5200500488281
7,1770786039.463254,4000,-379.0962219238281
8,1770786042.4977138,4500,-364.80230712890625
9,1770786045.0592551,5000,-375.1221008300781
10,1770786047.924574,5500,-377.21734619140625
11,1770786050.918137,6000,-368.0943908691406
12,1770786053.9733388,6500,-371.1984558105469
13,1770786056.751067,7000,-362.3380432128906
14,1770786059.76368,7500,-353.4142150878906
15,1770786062.7872581,8000,-351.493896484375
16,1770786065.553796,8500,-352.7219543457031
17,1770786068.5714052,9000,-345.59576416015625
18,1770786071.298518,9500,-349.0376892089844
19,1770786074.2868931,10000,-349.5133972167969
20,1770786077.32509,10500,-351.2657775878906
21,1770786080.353456,11000,-345.5654296875
22,1770786083.423739,11500,-339.5723876953125
23,1770786086.447415,12000,-340.71246337890625
24,1770786089.546776,12500,-334.5150146484375
25,1770786092.617103,13000,-332.4507751464844
26,1770786095.415832,13500,-335.5707092285156
27,1770786098.493251,14000,-328.83026123046875
28,1770786101.535984,14500,-331.8416442871094
29,1770786104.601484,15000,-321.7492980957031
30,1770786107.672447,15500,-322.3819580078125
31,1770786110.736404,16000,-326.25579833984375
32,1770786113.81124,16500,-317.6015625
33,1770786116.854666,17000,-314.1803894042969
34,1770786119.5080268,17500,-312.10748291015625
35,1770786122.589165,18000,-314.07672119140625
36,1770786125.610102,18500,-315.8934631347656
37,1770786128.671743,19000,-315.031982421875
38,1770786131.6866739,19500,-321.30584716796875
39,1770786134.712151,20000,-307.0699157714844
40,1770786137.750939,20500,-310.63433837890625
41,1770786140.7554822,21000,-313.7178039550781
42,1770786143.575891,21500,-318.5532531738281
43,1770786146.656694,22000,-312.39996337890625
44,1770786149.6216152,22500,-305.3807067871094
45,1770786152.653418,23000,-315.3520812988281
46,1770786155.6864908,23500,-315.63604736328125
47,1770786158.812719,24000,-307.09869384765625
48,1770786161.807564,24500,-317.75128173828125
49,1770786164.648112,25000,-318.0592346191406
50,1770786167.4229,25500,-318.12969970703125
51,1770786170.43626,26000,-322.59637451171875
52,1770786173.494206,26500,-331.19183349609375
53,1770786176.5705652,27000,-343.95733642578125
54,1770786179.584835,27500,-349.8418273925781
55,1770786182.658877,28000,-358.30621337890625
56,1770786185.723835,28500,-356.1345520019531
57,1770786188.702136,29000,-354.3926696777344
58,1770786191.560568,29500,-364.50775146484375
59,1770786194.558892,30000,-365.66851806640625
60,1770786197.629518,30500,-371.885009765625
61,1770786200.675095,31000,-365.6001892089844
62,1770786203.812562,31500,-363.83624267578125
63,1770786206.848528,32000,-354.0091552734375
64,1770786209.9153018,32500,-357.4365234375
65,1770786212.48497,33000,-367.3697509765625
66,1770786214.800583,33500,-368.1846923828125
67,1770786217.886948,34000,-368.8526611328125
68,1770786220.915895,34500,-370.6877136230469
69,1770786224.000711,35000,-383.0544128417969
70,1770786226.984871,35500,-382.862548828125
71,1770786230.018495,36000,-380.2442321777344
72,1770786233.0689511,36500,-379.0935974121094
73,1770786235.9373,37000,-374.1062316894531
74,1770786238.970415,37500,-368.570068359375
75,1770786242.0196118,38000,-360.51153564453125
76,1770786245.0476081,38500,-364.2690734863281
77,1770786248.126095,39000,-361.2516174316406
78,1770786251.190062,39500,-368.2159118652344
79,1770786254.2862778,40000,-367.5443115234375
80,1770786257.336534,40500,-366.6563720703125
81,1770786260.182569,41000,-366.4773254394531
82,1770786263.194016,41500,-366.41357421875
83,1770786266.203284,42000,-368.82421875
84,1770786269.305055,42500,-375.50787353515625
85,1770786271.504145,43000,-376.3172607421875
86,1770786272.911819,43500,-381.1061706542969
87,1770786274.314467,44000,-372.0993347167969
88,1770786275.734394,44500,-375.10357666015625
89,1770786277.1267898,45000,-376.8359680175781
90,1770786278.515069,45500,-372.9148864746094
91,1770786279.929584,46000,-370.3189697265625
92,1770786281.3416069,46500,-360.1292724609375
93,1770786282.7600708,47000,-357.94830322265625
94,1770786284.2376478,47500,-363.1742248535156
95,1770786285.677595,48000,-363.95770263671875
96,1770786287.0841951,48500,-363.1543884277344
97,1770786288.5045571,49000,-358.0588073730469
98,1770786289.925909,49500,-354.6407470703125
99,1770786291.328628,50000,-359.10687255859375
100,1770786292.733858,50500,-362.1304931640625
101,1770786294.129987,51000,-357.5470275878906
102,1770786295.5317829,51500,-356.1556701660156
103,1770786296.9184608,52000,-354.7913513183594
104,1770786298.3094091,52500,-354.3633728027344
105,1770786299.703802,53000,-346.10906982421875
106,1770786301.110674,53500,-347.5636901855469
107,1770786302.49734,54000,-354.8293151855469
108,1770786303.906826,54500,-359.17425537109375
109,1770786305.317869,55000,-364.45220947265625
110,1770786306.729965,55500,-364.88421630859375
111,1770786308.278986,56000,-355.0063171386719
112,1770786309.6696231,56500,-359.435791015625
113,1770786311.081475,57000,-364.799560546875
114,1770786312.5002701,57500,-375.17803955078125
115,1770786313.914238,58000,-371.11822509765625
116,1770786315.335135,58500,-366.9243469238281
117,1770786316.763317,59000,-367.96337890625
118,1770786318.204333,59500,-361.7032165527344
119,1770786319.6477609,60000,-366.6339111328125
120,1770786321.08642,60500,-363.2154235839844
121,1770786322.53579,61000,-363.4715576171875
122,1770786323.976137,61500,-366.0375671386719
123,1770786325.420615,62000,-369.123779296875
124,1770786326.860904,62500,-364.9229736328125
125,1770786328.297332,63000,-359.3763122558594
126,1770786329.726631,63500,-360.9522399902344
127,1770786331.2456079,64000,-360.3877258300781
128,1770786332.6660302,64500,-352.1971435546875
129,1770786334.0935192,65000,-355.8703918457031
130,1770786335.537268,65500,-352.5804748535156
131,1770786336.981615,66000,-354.82635498046875
132,1770786338.423797,66500,-361.6741027832031
133,1770786339.8522172,67000,-364.5049133300781
134,1770786341.261225,67500,-358.9639587402344
135,1770786342.692975,68000,-352.6412353515625
136,1770786344.138169,68500,-356.7923889160156
137,1770786345.58523,69000,-360.65814208984375
138,1770786347.0301251,69500,-362.2274475097656
139,1770786348.464602,70000,-366.65301513671875
140,1770786349.9163818,70500,-360.8746337890625
141,1770786351.354431,71000,-351.70611572265625
142,1770786352.7578921,71500,-352.40185546875
143,1770786354.713577,72000,-350.2990417480469
144,1770786357.8392599,72500,-356.1052551269531
145,1770786360.961457,73000,-358.1360168457031
146,1770786363.9627001,73500,-368.6805725097656
147,1770786367.03917,74000,-368.9128112792969
148,1770786370.116291,74500,-371.3418273925781
149,1770786373.25011,75000,-361.7167053222656
150,1770786375.222998,75500,-365.8996887207031
151,1770786376.669455,76000,-368.6963806152344
152,1770786378.684726,76500,-362.0093688964844
153,1770786381.7597141,77000,-360.5534362792969
154,1770786384.852493,77500,-364.4940490722656
155,1770786387.995583,78000,-359.9222717285156
156,1770786391.143103,78500,-353.0723571777344
157,1770786394.3327239,79000,-347.9565124511719
158,1770786397.4450738,79500,-337.8012390136719
159,1770786400.509187,80000,-334.7423095703125
160,1770786403.4252732,80500,-327.6952819824219
161,1770786406.575739,81000,-338.80426025390625
162,1770786409.7672992,81500,-343.39410400390625
163,1770786412.8695161,82000,-346.3168029785156
164,1770786415.993674,82500,-347.3664855957031
165,1770786419.128772,83000,-349.84564208984375
166,1770786422.260093,83500,-352.8051452636719
167,1770786425.3560152,84000,-347.0049133300781
168,1770786428.342911,84500,-341.63616943359375
169,1770786431.383265,85000,-338.69329833984375
170,1770786434.480046,85500,-337.60943603515625
171,1770786437.550619,86000,-336.5312194824219
172,1770786440.638943,86500,-337.46295166015625
173,1770786443.672447,87000,-335.3899841308594
174,1770786446.759976,87500,-343.15399169921875
175,1770786449.718688,88000,-341.844970703125
176,1770786452.8357928,88500,-347.55010986328125
177,1770786455.914123,89000,-354.80767822265625
178,1770786459.047273,89500,-367.21099853515625
179,1770786462.125319,90000,-365.8210144042969
180,1770786465.232343,90500,-367.57879638671875
181,1770786468.346539,91000,-358.9999084472656
182,1770786471.448411,91500,-358.79034423828125
183,1770786474.284724,92000,-358.4715881347656
184,1770786477.369879,92500,-353.3442687988281
185,1770786480.485912,93000,-348.57373046875
186,1770786483.595832,93500,-347.2017822265625
187,1770786486.709007,94000,-342.7857971191406
188,1770786489.822939,94500,-348.19415283203125
189,1770786492.939301,95000,-344.7015686035156
190,1770786496.072039,95500,-356.7237243652344
191,1770786499.0973282,96000,-353.9106750488281
192,1770786502.19913,96500,-348.1916198730469
193,1770786505.319048,97000,-342.76947021484375
194,1770786508.456884,97500,-331.63677978515625
195,1770786511.573055,98000,-333.8436584472656
196,1770786514.742563,98500,-336.025390625
197,1770786517.887586,99000,-330.6551818847656
198,1770786520.9859798,99500,-325.7910461425781
199,1770786523.953131,100000,-321.478515625
200,1770786526.4600651,100500,-325.87237548828125
201,1770786528.176269,101000,-327.0979919433594
202,1770786531.214257,101500,-330.72772216796875
203,1770786534.334347,102000,-329.3858947753906
204,1770786537.382949,102500,-325.26171875
205,1770786540.507723,103000,-319.74755859375
206,1770786543.662648,103500,-321.2822265625
207,1770786545.2680268,104000,-322.5375061035156
208,1770786547.755223,104500,-329.96478271484375
209,1770786550.83153,105000,-324.3664855957031
210,1770786553.966157,105500,-328.08740234375
211,1770786557.096808,106000,-321.29241943359375
212,1770786560.143111,106500,-326.4084777832031
213,1770786563.26076,107000,-327.14080810546875
214,1770786566.351211,107500,-328.5710144042969
215,1770786569.4179242,108000,-339.03582763671875
216,1770786572.397318,108500,-345.1839294433594
217,1770786575.510437,109000,-344.8873291015625
218,1770786578.646442,109500,-348.2498474121094
219,1770786581.7511191,110000,-353.9626770019531
220,1770786584.901406,110500,-351.6865234375
221,1770786588.02646,111000,-355.88970947265625
222,1770786591.178101,111500,-365.4630432128906
223,1770786594.1492841,112000,-366.1207580566406
224,1770786597.264556,112500,-363.0758056640625
225,1770786600.396498,113000,-362.11822509765625
226,1770786603.512822,113500,-366.54986572265625
227,1770786606.633734,114000,-382.662841796875
228,1770786609.770296,114500,-380.36077880859375
229,1770786612.8347719,115000,-375.61334228515625
230,1770786615.9448562,115500,-369.7903137207031
231,1770786618.891947,116000,-363.0282897949219
232,1770786621.955981,116500,-365.5320739746094
233,1770786625.099979,117000,-371.9189147949219
234,1770786628.194325,117500,-368.14312744140625
235,1770786631.2463942,118000,-371.80242919921875
236,1770786634.3767848,118500,-370.1515197753906
237,1770786637.461544,119000,-371.1827087402344
238,1770786640.596473,119500,-377.04071044921875
239,1770786643.462844,120000,-370.0830383300781
240,1770786646.3435829,120500,-372.6175537109375
241,1770786649.482719,121000,-372.7825622558594
242,1770786652.562305,121500,-368.6431884765625
243,1770786655.706887,122000,-370.3142395019531
244,1770786658.804013,122500,-368.7406005859375
245,1770786661.9556859,123000,-373.0367431640625
246,1770786664.9581282,123500,-368.40411376953125
247,1770786668.051183,124000,-360.84954833984375
248,1770786671.167337,124500,-354.4925231933594
249,1770786674.2747579,125000,-365.2925109863281
250,1770786677.431335,125500,-364.7479553222656
251,1770786680.573749,126000,-365.8277587890625
252,1770786683.703347,126500,-367.6710205078125
253,1770786686.833348,127000,-368.9257507324219
254,1770786689.7995222,127500,-365.7932434082031
255,1770786692.901883,128000,-367.2373046875
256,1770786696.053579,128500,-368.8027648925781
257,1770786699.196886,129000,-368.0756530761719
258,1770786702.307484,129500,-363.2681884765625
259,1770786705.486947,130000,-358.860107421875
260,1770786708.544896,130500,-358.4100341796875
261,1770786711.581839,131000,-358.4861145019531
262,1770786714.50019,131500,-364.4571533203125
263,1770786717.5794308,132000,-354.1769714355469
264,1770786720.6743739,132500,-346.8410949707031
265,1770786723.6180322,133000,-351.0826416015625
266,1770786726.782689,133500,-352.9610900878906
267,1770786729.9035242,134000,-354.1024475097656
268,1770786733.011347,134500,-362.6148681640625
269,1770786736.107861,135000,-356.7481689453125
270,1770786739.099166,135500,-358.8479919433594
271,1770786742.22093,136000,-364.2913513183594
272,1770786745.3824482,136500,-365.4068298339844
273,1770786748.480212,137000,-366.2648620605469
274,1770786751.6102452,137500,-367.6142578125
275,1770786754.698465,138000,-365.5073547363281
276,1770786757.769758,138500,-370.24810791015625
277,1770786760.8333461,139000,-368.90374755859375
278,1770786763.8294241,139500,-372.1957702636719
279,1770786766.979399,140000,-367.397216796875
280,1770786770.1639822,140500,-370.5573425292969
281,1770786773.299593,141000,-364.43414306640625
282,1770786776.423764,141500,-358.104736328125
283,1770786779.5612748,142000,-353.23077392578125
284,1770786782.680892,142500,-363.2332458496094
285,1770786785.6704042,143000,-362.614013671875
286,1770786788.756086,143500,-358.40863037109375
287,1770786791.843304,144000,-357.85186767578125
288,1770786794.995342,144500,-355.7696533203125
289,1770786798.099388,145000,-359.7008972167969
290,1770786801.189928,145500,-358.57745361328125
291,1770786804.292537,146000,-356.5856628417969
292,1770786807.367496,146500,-341.99163818359375
