,wall_time,step,value
0,1770788869.998271,2048,-399.088134765625
1,1770788876.532209,4096,-366.04864501953125
2,1770788883.121661,6144,-344.2076416015625
3,1770788889.850796,8192,-352.8487243652344
4,1770788896.5351129,10240,-350.5420227050781
5,1770788903.168253,12288,-358.4927673339844
6,1770788909.835752,14336,-347.7742004394531
7,1770788916.3214898,16384,-374.1026306152344
8,1770788923.038466,18432,-364.94329833984375
9,1770788929.769601,20480,-365.5672607421875
10,1770788936.3501031,22528,-353.7690124511719
11,1770788942.9623559,24576,-371.6019287109375
12,1770788949.590972,26624,-358.5857238769531
13,1770788956.248992,28672,-369.9201354980469
14,1770788962.757967,30720,-369.46588134765625
15,1770788969.328371,32768,-367.3700256347656
16,1770788975.849427,34816,-364.5091552734375
17,1770788982.515948,36864,-365.2691650390625
18,1770788989.236049,38912,-354.67913818359375
19,1770788995.9365618,40960,-347.8587951660156
20,1770789002.3262038,43008,-349.4215393066406
21,1770789008.980545,45056,-340.52947998046875
22,1770789015.696695,47104,-331.9848937988281
23,1770789022.3882391,49152,-338.4903869628906
24,1770789028.8551638,51200,-349.5783996582031
25,1770789035.486387,53248,-350.4625244140625
26,1770789042.054219,55296,-352.2996520996094
27,1770789048.4086661,57344,-351.0344543457031
28,1770789054.94731,59392,-354.31817626953125
29,1770789061.622056,61440,-357.0926513671875
30,1770789068.2484071,63488,-363.8161315917969
31,1770789074.953673,65536,-367.3772277832031
32,1770789081.0454988,67584,-372.8793029785156
33,1770789087.714148,69632,-365.4117126464844
34,1770789094.393662,71680,-353.2666320800781
35,1770789100.9636931,73728,-352.8309020996094
36,1770789107.659796,75776,-355.16717529296875
37,1770789114.3870149,77824,-351.0664367675781
38,1770789121.100043,79872,-363.87457275390625
39,1770789127.690492,81920,-367.5923767089844
40,1770789134.460712,83968,-351.16351318359375
41,1770789141.061014,86016,-370.1549377441406
42,1770789147.689117,88064,-379.4250793457031
43,1770789154.4185028,90112,-369.74542236328125
44,1770789161.137287,92160,-370.24285888671875
45,1770789167.8339462,94208,-372.53326416015625
46,1770789174.485374,96256,-353.7637939453125
47,1770789181.1069078,98304,-352.16815185546875
48,1770789187.7638988,100352,-346.298828125
49,1770789194.435773,102400,-328.7628173828125
50,1770789201.158396,104448,-338.43890380859375
51,1770789207.7789671,106496,-328.90057373046875
52,1770789214.371497,108544,-323.97625732421875
53,1770789221.031163,110592,-337.52423095703125
54,1770789227.672589,112640,-354.6697692871094
55,1770789234.339175,114688,-336.6878356933594
56,1770789241.0356789,116736,-350.41436767578125
57,1770789247.552643,118784,-345.17169189453125
58,1770789254.2292402,120832,-354.3020935058594
59,1770789260.907941,122880,-334.79852294921875
60,1770789267.51968,124928,-352.7386779785156
61,1770789273.9867678,126976,-357.4494323730469
62,1770789280.505884,129024,-365.2178039550781
63,1770789287.124187,131072,-355.9720153808594
64,1770789293.622907,133120,-355.7729797363281
65,1770789300.139157,135168,-349.392822265625
66,1770789306.771876,137216,-335.9139099121094
67,1770789313.37311,139264,-326.4241943359375
68,1770789319.958337,141312,-320.2165832519531
69,1770789326.6589692,143360,-327.42523193359375
70,1770789333.117845,145408,-339.2733459472656
71,1770789339.782775,147456,-332.93658447265625
72,1770789346.420727,149504,-348.7765808105469
73,1770789353.0454621,151552,-336.94830322265625
74,1770789359.660494,153600,-317.2452087402344
75,1770789366.2328231,155648,-319.6839904785156
76,1770789372.7405581,157696,-312.09442138671875
77,1770789379.19447,159744,-320.8377685546875
78,1770789385.5221581,161792,-326.5344543457031
79,1770789392.2189891,163840,-342.3876647949219
80,1770789398.883255,165888,-343.26666259765625
81,1770789405.485185,167936,-347.950439453125
82,1770789412.1899068,169984,-354.2789001464844
83,1770789418.8657339,172032,-355.20587158203125
84,1770789425.47645,174080,-352.7870788574219
85,1770789431.894131,176128,-355.3898010253906
86,1770789438.611708,178176,-355.5849304199219
87,1770789445.0008671,180224,-360.4766845703125
88,1770789451.1348832,182272,-349.5027160644531
89,1770789457.116589,184320,-345.14300537109375
90,1770789463.089374,186368,-338.87579345703125
91,1770789469.2082372,188416,-330.1867370605469
92,1770789475.548491,190464,-318.3394470214844
93,1770789482.095284,192512,-307.1139831542969
94,1770789488.711246,194560,-302.3899841308594
95,1770789494.5415401,196608,-307.4540710449219
96,1770789501.170615,198656,-304.5837097167969
97,1770789507.8012521,200704,-296.0513916015625
