,wall_time,step,value
0,1770779191.761226,500,-270.7022705078125
1,1770779195.5636532,1000,-250.8574676513672
2,1770779197.365798,1500,-297.005615234375
3,1770779199.1683981,2000,-289.75103759765625
4,1770779200.9665449,2500,-291.538818359375
5,1770779202.765328,3000,-295.03228759765625
6,1770779204.564498,3500,-304.3260498046875
7,1770779206.370723,4000,-298.7193603515625
8,1770779208.178022,4500,-291.54217529296875
9,1770779209.978809,5000,-282.75689697265625
10,1770779211.90329,5500,-280.05914306640625
11,1770779213.705496,6000,-288.85711669921875
12,1770779215.506621,6500,-283.6329650878906
13,1770779217.3021472,7000,-299.0777282714844
14,1770779219.100273,7500,-296.9766540527344
15,1770779220.815768,8000,-291.5610656738281
16,1770779222.4669518,8500,-292.7878112792969
17,1770779224.255162,9000,-295.81829833984375
18,1770779226.0576708,9500,-295.705810546875
19,1770779227.8662322,10000,-300.16058349609375
20,1770779229.645547,10500,-303.97442626953125
21,1770779231.440593,11000,-298.0879211425781
22,1770779233.3211331,11500,-299.6510009765625
23,1770779235.128551,12000,-305.09466552734375
24,1770779236.9190772,12500,-303.5386657714844
25,1770779238.7196212,13000,-307.7634582519531
26,1770779240.5184598,13500,-310.48785400390625
27,1770779242.3127198,14000,-322.0805358886719
28,1770779244.1068318,14500,-328.5224304199219
29,1770779245.891807,15000,-334.6159362792969
30,1770779247.6794071,15500,-336.6889953613281
31,1770779249.470539,16000,-333.1928405761719
32,1770779251.262562,16500,-340.9687194824219
33,1770779253.059873,17000,-332.2663269042969
34,1770779254.9354298,17500,-341.4807434082031
35,1770779256.738841,18000,-354.98291015625
36,1770779258.5387352,18500,-359.44830322265625
37,1770779260.343015,19000,-360.9237976074219
38,1770779262.132024,19500,-364.7816467285156
39,1770779263.933206,20000,-376.6063537597656
40,1770779265.734887,20500,-372.7579040527344
41,1770779267.5396779,21000,-373.83990478515625
42,1770779269.33498,21500,-382.02081298828125
43,1770779271.135502,22000,-383.6269836425781
44,1770779272.93633,22500,-382.7362976074219
45,1770779274.739885,23000,-394.5835266113281
46,1770779276.618037,23500,-394.0401611328125
47,1770779278.408542,24000,-393.27618408203125
48,1770779280.1970959,24500,-392.00177001953125
49,1770779281.982569,25000,-388.4684143066406
50,1770779283.7762072,25500,-390.0902099609375
51,1770779285.57373,26000,-385.30413818359375
52,1770779287.3645399,26500,-391.1575927734375
53,1770779289.153973,27000,-395.5595397949219
54,1770779290.935213,27500,-402.5448913574219
55,1770779292.733645,28000,-405.6566162109375
56,1770779294.525101,28500,-405.5757141113281
57,1770779296.317319,29000,-411.14739990234375
58,1770779298.177609,29500,-406.9079895019531
59,1770779299.982806,30000,-408.5220642089844
60,1770779301.762357,30500,-413.2044677734375
61,1770779303.5550232,31000,-411.1169128417969
62,1770779305.361276,31500,-406.3042297363281
63,1770779307.14546,32000,-406.9478454589844
64,1770779308.935673,32500,-412.96044921875
65,1770779310.726938,33000,-419.7995300292969
66,1770779312.5124102,33500,-422.79779052734375
67,1770779314.309658,34000,-425.7608337402344
68,1770779316.101552,34500,-429.1862487792969
69,1770779317.895838,35000,-427.0885314941406
70,1770779319.757097,35500,-435.4870910644531
71,1770779321.5888581,36000,-440.9280700683594
72,1770779323.3926861,36500,-445.04376220703125
73,1770779325.192928,37000,-444.95751953125
74,1770779326.994548,37500,-453.4566955566406
75,1770779328.798309,38000,-454.768798828125
76,1770779330.598885,38500,-451.8497314453125
77,1770779332.3936372,39000,-457.49859619140625
78,1770779334.195799,39500,-461.2514953613281
79,1770779336.0000262,40000,-458.3874206542969
80,1770779337.794805,40500,-467.7215270996094
81,1770779339.597436,41000,-466.4601135253906
