,wall_time,step,value
0,1770778957.82045,423,-341.64483642578125
1,1770778958.0642529,782,-345.6167907714844
2,1770778958.356891,1201,-382.45172119140625
3,1770778958.6160169,1576,-369.7480163574219
4,1770778958.8409019,1892,-368.4083251953125
5,1770778959.0737762,2224,-343.408447265625
6,1770778959.288824,2524,-323.3360595703125
7,1770778959.550602,2878,-332.134033203125
8,1770778959.826175,3258,-320.7125244140625
9,1770778960.08504,3602,-315.4216003417969
10,1770778960.341491,3953,-316.6537170410156
11,1770778960.665932,4390,-316.93994140625
12,1770778961.1288362,4968,-321.478759765625
13,1770778961.4171278,5332,-334.7581481933594
14,1770778961.7435431,5744,-347.8186340332031
15,1770778962.0588758,6125,-351.9172668457031
16,1770778962.38572,6518,-358.0960693359375
17,1770778962.803679,7025,-368.99456787109375
18,1770778963.197581,7491,-367.5723571777344
19,1770778963.656652,8025,-368.1464538574219
20,1770778964.054699,8482,-361.9527587890625
21,1770778964.3701298,8848,-351.1631164550781
22,1770778964.696522,9208,-347.2491149902344
23,1770778965.053699,9598,-339.5840148925781
24,1770778965.380367,9958,-335.8537292480469
25,1770778965.7377548,10343,-328.9446716308594
26,1770778966.0475242,10675,-323.6683654785156
27,1770778966.515667,11178,-312.0186462402344
28,1770778967.008569,11695,-303.78607177734375
29,1770778967.751292,12458,-294.9968566894531
30,1770778968.270936,12982,-292.62591552734375
31,1770778969.132093,13825,-289.03289794921875
32,1770778969.7112699,14407,-278.961181640625
33,1770778970.808246,15437,-277.0306701660156
34,1770778971.9274518,16475,-276.1181640625
35,1770778972.618562,17114,-268.0841369628906
36,1770778973.766798,18135,-265.88616943359375
37,1770778975.1733491,19343,-260.2718505859375
38,1770778977.369209,21208,-257.09375
39,1770778978.281384,21979,-250.3576202392578
40,1770778979.20868,22762,-247.5284423828125
41,1770778981.23407,24473,-239.2293243408203
42,1770778983.2372339,26163,-226.24314880371094
43,1770778984.61209,27326,-223.5305938720703
44,1770778986.615129,29016,-219.1341552734375
45,1770778987.928962,30125,-216.9840545654297
46,1770778990.157144,32011,-223.4290008544922
47,1770778992.2537558,33789,-224.32394409179688
48,1770778994.000439,35264,-236.07412719726562
49,1770778994.9454982,36062,-237.0489959716797
50,1770778996.4645581,37344,-242.53854370117188
51,1770778997.5399199,38229,-249.54672241210938
52,1770778998.261417,38839,-254.95721435546875
53,1770778999.279802,39695,-260.5470886230469
54,1770779000.044051,40337,-264.8522644042969
55,1770779000.81162,40983,-273.263427734375
56,1770779001.576258,41625,-282.31158447265625
57,1770779002.498563,42404,-293.4527282714844
58,1770779003.585172,43320,-293.09283447265625
59,1770779004.4292438,44032,-296.1749267578125
60,1770779005.3605509,44819,-303.1573486328125
61,1770779006.442881,45737,-305.1616516113281
62,1770779007.204126,46385,-307.9372253417969
63,1770779007.874729,46951,-305.1259460449219
64,1770779008.696139,47644,-306.11016845703125
65,1770779009.393729,48232,-306.1812438964844
66,1770779010.076661,48806,-306.0242004394531
67,1770779010.6655202,49306,-305.3355407714844
68,1770779011.368345,49899,-302.8711853027344
69,1770779012.347403,50729,-306.7666931152344
70,1770779012.9403698,51231,-314.0621337890625
71,1770779013.743293,51909,-315.1304626464844
72,1770779015.047602,53017,-318.4857177734375
73,1770779016.069252,53886,-314.41845703125
74,1770779016.9399428,54619,-317.11932373046875
75,1770779017.784022,55331,-319.3349304199219
76,1770779018.6229131,56034,-309.30145263671875
77,1770779019.515189,56781,-306.8067932128906
78,1770779020.5206752,57635,-303.9806823730469
79,1770779021.790869,58711,-305.7819519042969
80,1770779022.5612218,59363,-301.47308349609375
81,1770779023.463438,60125,-295.3799743652344
82,1770779024.584367,61069,-287.58111572265625
83,1770779026.458742,62658,-288.1081848144531
84,1770779027.656579,63674,-285.1241149902344
85,1770779028.7443671,64598,-279.80877685546875
86,1770779029.577884,65304,-272.4303283691406
87,1770779031.042868,66541,-267.4950866699219
88,1770779032.487792,67755,-261.3335266113281
89,1770779033.6723242,68751,-251.5978546142578
90,1770779037.4133189,71920,-249.05062866210938
91,1770779041.213543,75121,-246.8532257080078
92,1770779043.077794,76689,-242.4246826171875
93,1770779047.033074,80048,-241.41233825683594
94,1770779050.1131752,82657,-235.59521484375
95,1770779054.000445,85952,-229.51211547851562
96,1770779057.840419,89207,-223.5975799560547
97,1770779061.652825,92431,-217.30905151367188
98,1770779065.842981,95963,-207.93963623046875
99,1770779069.369345,98951,-203.3931884765625
100,1770779073.258333,102244,-197.7131805419922
101,1770779075.806297,104399,-199.77020263671875
102,1770779078.781078,106919,-195.75222778320312
103,1770779083.012112,110505,-195.769775390625
104,1770779086.399175,113356,-188.10818481445312
105,1770779090.485908,116813,-186.7584228515625
106,1770779094.884695,120530,-186.95289611816406
107,1770779099.025398,124034,-185.8738555908203
108,1770779103.4782941,127804,-183.14889526367188
109,1770779107.914049,131529,-183.4886932373047
110,1770779111.575547,134610,-179.13302612304688
111,1770779114.749782,137275,-181.0332489013672
112,1770779117.456767,139560,-180.7586669921875
113,1770779122.1964722,143560,-179.05899047851562
114,1770779126.2631319,146992,-182.11912536621094
115,1770779129.4746869,149687,-179.76959228515625
116,1770779133.034657,152693,-181.02639770507812
117,1770779137.760258,156693,-184.6250762939453
118,1770779141.6928189,160019,-182.20388793945312
119,1770779145.508269,163237,-180.42559814453125
120,1770779149.666562,166741,-178.5997314453125
121,1770779153.53586,169984,-180.1291046142578
122,1770779157.047188,172947,-178.8160858154297
123,1770779160.8658419,176169,-182.48329162597656
124,1770779165.607241,180169,-180.0875701904297
125,1770779169.217543,183225,-177.6300048828125
126,1770779173.777623,187060,-176.9742889404297
127,1770779178.530014,191060,-178.54920959472656
128,1770779182.1845849,194122,-177.34457397460938
129,1770779186.557102,197808,-181.5017852783203
