,wall_time,step,value
0,1770783416.719601,2048,-247.31642150878906
1,1770783424.759854,4096,-220.28187561035156
2,1770783433.016383,6144,-234.5474395751953
3,1770783441.335978,8192,-229.1149444580078
4,1770783449.546598,10240,-213.35198974609375
5,1770783457.712478,12288,-197.75511169433594
6,1770783465.9634209,14336,-169.2117462158203
7,1770783474.1075761,16384,-152.1865692138672
8,1770783482.294844,18432,-129.27072143554688
9,1770783490.4630861,20480,-107.25348663330078
10,1770783498.72475,22528,-100.1883316040039
11,1770783506.99183,24576,-89.1574478149414
12,1770783515.039649,26624,-81.18264770507812
13,1770783523.206083,28672,-80.01031494140625
14,1770783531.442503,30720,-80.36876678466797
15,1770783539.62427,32768,-82.89201354980469
16,1770783547.749104,34816,-82.98172760009766
17,1770783555.777198,36864,-86.33563995361328
18,1770783564.031532,38912,-87.79220581054688
19,1770783572.186391,40960,-89.94196319580078
20,1770783580.455261,43008,-92.92141723632812
21,1770783588.695859,45056,-96.25605773925781
22,1770783596.785246,47104,-100.8321304321289
23,1770783604.985573,49152,-108.9442367553711
24,1770783612.968044,51200,-110.7849349975586
25,1770783621.178967,53248,-117.78392791748047
26,1770783629.337344,55296,-119.10870361328125
27,1770783637.42737,57344,-124.61456298828125
28,1770783645.685571,59392,-126.10646057128906
29,1770783653.853923,61440,-125.11995697021484
30,1770783661.7159839,63488,-122.83943939208984
31,1770783669.947593,65536,-123.84031677246094
32,1770783678.210119,67584,-127.65157318115234
33,1770783686.479035,69632,-126.93313598632812
34,1770783694.703897,71680,-132.47705078125
35,1770783702.543616,73728,-137.6284942626953
36,1770783710.5570219,75776,-142.16375732421875
37,1770783718.624052,77824,-138.73675537109375
38,1770783726.812449,79872,-141.6013641357422
39,1770783735.069155,81920,-141.23159790039062
40,1770783743.211031,83968,-141.6788787841797
41,1770783751.232764,86016,-144.35166931152344
42,1770783759.187778,88064,-140.74266052246094
43,1770783767.4830568,90112,-137.58888244628906
44,1770783775.5188842,92160,-138.2328643798828
45,1770783783.674658,94208,-132.567626953125
46,1770783791.796559,96256,-135.47030639648438
47,1770783799.94659,98304,-135.7841033935547
48,1770783808.1792378,100352,-135.7381134033203
49,1770783816.219352,102400,-133.93235778808594
50,1770783824.488883,104448,-127.86642456054688
51,1770783832.649123,106496,-119.19546508789062
52,1770783840.692468,108544,-120.18602752685547
53,1770783848.8035772,110592,-124.9668197631836
54,1770783856.9456892,112640,-128.41873168945312
55,1770783865.093842,114688,-121.25521087646484
56,1770783873.384345,116736,-133.3158721923828
57,1770783881.351542,118784,-137.30477905273438
58,1770783889.524011,120832,-146.90570068359375
59,1770783897.631604,122880,-156.2039794921875
60,1770783905.863607,124928,-162.15354919433594
61,1770783913.918334,126976,-163.4720916748047
62,1770783922.138989,129024,-168.63409423828125
63,1770783930.311726,131072,-179.63096618652344
64,1770783938.449548,133120,-178.30555725097656
65,1770783946.604427,135168,-174.98629760742188
66,1770783954.7307038,137216,-170.5066680908203
67,1770783962.692993,139264,-173.8924560546875
68,1770783970.703051,141312,-175.9774169921875
69,1770783978.82414,143360,-181.62945556640625
70,1770783986.9533598,145408,-179.7999267578125
71,1770783995.20953,147456,-166.3770751953125
72,1770784003.289118,149504,-158.02561950683594
73,1770784011.145607,151552,-146.17359924316406
74,1770784019.3027909,153600,-140.37039184570312
75,1770784027.374316,155648,-125.77647399902344
76,1770784035.672076,157696,-115.20121765136719
77,1770784043.9111302,159744,-104.95478057861328
78,1770784052.151506,161792,-97.64945220947266
79,1770784059.988118,163840,-91.57386779785156
80,1770784068.186382,165888,-91.66598510742188
81,1770784076.312557,167936,-87.3730239868164
82,1770784084.576735,169984,-86.67300415039062
83,1770784092.641602,172032,-78.73966979980469
84,1770784100.91296,174080,-70.99703216552734
85,1770784109.185693,176128,-66.09469604492188
86,1770784117.315753,178176,-67.98578643798828
87,1770784125.517031,180224,-70.38045501708984
88,1770784133.7499142,182272,-79.74198913574219
89,1770784141.827735,184320,-103.05335998535156
90,1770784149.8203032,186368,-130.72537231445312
91,1770784157.9910452,188416,-145.44358825683594
92,1770784166.251623,190464,-147.74462890625
93,1770784174.453948,192512,-178.6038360595703
94,1770784182.699053,194560,-185.48046875
95,1770784190.881237,196608,-202.49554443359375
96,1770784199.151049,198656,-216.09986877441406
97,1770784207.3727958,200704,-231.6087188720703
