,wall_time,step,value
0,1770843750.99085,500,-735.0744018554688
1,1770843753.929832,1000,-703.421630859375
2,1770843756.774027,1500,-1088.8319091796875
3,1770843759.442952,2000,-1095.171875
4,1770843762.3345542,2500,-1407.47998046875
5,1770843765.20818,3000,-1310.4522705078125
6,1770843768.130133,3500,-1238.7076416015625
7,1770843771.013879,4000,-1239.577392578125
8,1770843773.960809,4500,-1200.62939453125
9,1770843776.811413,5000,-1257.8839111328125
10,1770843779.471478,5500,-1233.9111328125
11,1770843782.3582988,6000,-1248.18505859375
12,1770843785.264998,6500,-1318.1292724609375
13,1770843788.194182,7000,-1330.298583984375
14,1770843791.0805151,7500,-1279.393798828125
15,1770843794.04396,8000,-1365.21142578125
16,1770843796.919863,8500,-1349.666748046875
17,1770843799.8252559,9000,-1463.211181640625
18,1770843802.48903,9500,-1463.211181640625
19,1770843805.367435,10000,-1734.400634765625
20,1770843808.287665,10500,-1721.0135498046875
21,1770843811.1745741,11000,-1715.3935546875
22,1770843814.150377,11500,-1715.3935546875
23,1770843817.0560908,12000,-2102.599853515625
24,1770843819.9495869,12500,-2090.500732421875
25,1770843822.714942,13000,-2090.500732421875
26,1770843825.5893052,13500,-2426.713134765625
27,1770843828.5138078,14000,-2522.424072265625
28,1770843831.334661,14500,-2495.546630859375
29,1770843834.2441092,15000,-2495.546630859375
30,1770843837.1313019,15500,-2713.737548828125
31,1770843840.025277,16000,-2659.822021484375
32,1770843842.976046,16500,-2656.146240234375
33,1770843845.538455,17000,-2647.902587890625
34,1770843848.449737,17500,-2608.410400390625
35,1770843851.3179038,18000,-2594.37255859375
36,1770843854.316541,18500,-2618.28076171875
37,1770843857.200472,19000,-2594.960693359375
38,1770843860.115953,19500,-2577.362060546875
39,1770843863.046571,20000,-2583.897705078125
40,1770843865.878487,20500,-2522.6591796875
41,1770843868.499972,21000,-2554.06640625
42,1770843871.356066,21500,-2552.580810546875
43,1770843874.32713,22000,-2537.359619140625
44,1770843877.201334,22500,-2523.1015625
45,1770843880.100561,23000,-2549.82568359375
46,1770843883.0220642,23500,-2568.42626953125
47,1770843885.888858,24000,-2497.3701171875
48,1770843888.629947,24500,-2476.6904296875
49,1770843891.4685922,25000,-2447.246826171875
50,1770843894.4379609,25500,-2430.51318359375
51,1770843897.3189461,26000,-2421.204345703125
52,1770843900.2083268,26500,-2414.739501953125
53,1770843903.1757262,27000,-2415.26123046875
54,1770843906.092292,27500,-2397.884033203125
55,1770843909.060864,28000,-2440.712890625
56,1770843911.609279,28500,-2449.77099609375
57,1770843914.577618,29000,-2527.896728515625
58,1770843917.411202,29500,-2504.422119140625
59,1770843920.2918122,30000,-2526.9951171875
60,1770843923.187894,30500,-2547.8076171875
61,1770843926.089793,31000,-2553.03271484375
