,wall_time,step,value
0,1770845633.808457,2048,-1412.3570556640625
1,1770845640.360559,4096,-1238.965087890625
2,1770845646.966629,6144,-1284.628662109375
3,1770845653.6118212,8192,-1188.76416015625
4,1770845660.202271,10240,-1167.6390380859375
5,1770845666.85254,12288,-1116.9384765625
6,1770845673.359144,14336,-1081.841552734375
7,1770845679.977364,16384,-1063.6422119140625
8,1770845686.111438,18432,-1014.9246215820312
9,1770845692.024062,20480,-978.19677734375
10,1770845698.303339,22528,-946.5340576171875
11,1770845704.9259038,24576,-847.2796630859375
12,1770845710.9971242,26624,-831.0269165039062
13,1770845717.4087412,28672,-802.9622192382812
14,1770845724.082409,30720,-785.5435180664062
15,1770845730.659389,32768,-733.9690551757812
16,1770845737.335404,34816,-708.5048828125
17,1770845744.084212,36864,-661.4876098632812
18,1770845750.631405,38912,-659.0523071289062
19,1770845756.719813,40960,-622.0850219726562
20,1770845762.5482821,43008,-629.9361572265625
21,1770845768.675136,45056,-613.9774169921875
22,1770845774.980662,47104,-593.7286376953125
23,1770845781.191015,49152,-582.5908813476562
24,1770845787.331821,51200,-581.502197265625
25,1770845793.614902,53248,-889.7329711914062
26,1770845799.724072,55296,-960.0979614257812
27,1770845806.079395,57344,-1078.4947509765625
28,1770845812.2241778,59392,-1178.88916015625
29,1770845818.445688,61440,-1330.258056640625
30,1770845824.636597,63488,-1449.157958984375
31,1770845830.886637,65536,-1295.59375
32,1770845837.11969,67584,-1251.3673095703125
33,1770845843.372998,69632,-1291.6197509765625
34,1770845849.454937,71680,-1208.165771484375
35,1770845855.478736,73728,-1244.8477783203125
36,1770845861.715404,75776,-1235.1944580078125
37,1770845867.909552,77824,-1192.583984375
38,1770845874.071442,79872,-1149.289306640625
39,1770845880.9338071,81920,-1116.013427734375
40,1770845887.03742,83968,-1127.2191162109375
41,1770845893.261995,86016,-1038.9881591796875
42,1770845899.869459,88064,-1012.4903564453125
43,1770845906.422773,90112,-1023.5905151367188
44,1770845913.0642712,92160,-1061.11474609375
45,1770845919.583523,94208,-1049.4976806640625
46,1770845926.262142,96256,-945.1853637695312
47,1770845932.7523909,98304,-873.7683715820312
48,1770845939.137884,100352,-774.1504516601562
49,1770845945.657898,102400,-1216.9000244140625
50,1770845951.887082,104448,-1682.855224609375
51,1770845959.256512,106496,-2067.97607421875
52,1770845966.077316,108544,-2647.50341796875
53,1770845972.9362419,110592,-3081.9833984375
54,1770845979.190794,112640,-3382.834228515625
55,1770845985.894917,114688,-3750.71875
56,1770845993.3668952,116736,-4143.216796875
57,1770845999.49657,118784,-4459.08203125
58,1770846005.746849,120832,-4814.38330078125
59,1770846011.7836711,122880,-5204.3583984375
60,1770846018.519326,124928,-5583.80517578125
61,1770846025.185339,126976,-6037.0546875
62,1770846032.273171,129024,-6511.07666015625
63,1770846038.408463,131072,-6903.95458984375
64,1770846044.6416872,133120,-7108.35107421875
65,1770846050.909024,135168,-6966.947265625
66,1770846057.0748081,137216,-7093.8203125
67,1770846063.585354,139264,-6183.57666015625
68,1770846070.259294,141312,-6453.65185546875
69,1770846076.519076,143360,-6417.66015625
70,1770846083.335625,145408,-6719.89794921875
71,1770846089.8376782,147456,-6838.546875
72,1770846096.1473038,149504,-7203.71826171875
73,1770846102.185668,151552,-7480.48193359375
74,1770846108.4073448,153600,-7967.416015625
75,1770846116.522624,155648,-8149.287109375
76,1770846123.353207,157696,-8287.892578125
77,1770846130.2042692,159744,-7921.63232421875
78,1770846137.020879,161792,-7710.1884765625
79,1770846143.8060532,163840,-7982.05517578125
80,1770846150.805249,165888,-8110.3974609375
81,1770846157.259325,167936,-8039.5458984375
82,1770846164.9556448,169984,-8199.83203125
83,1770846171.0166569,172032,-8010.50732421875
84,1770846176.954874,174080,-7724.99853515625
85,1770846183.3717,176128,-7945.47021484375
86,1770846189.614795,178176,-7837.4951171875
87,1770846196.066689,180224,-8076.8837890625
88,1770846202.826273,182272,-8011.322265625
89,1770846209.518625,184320,-8427.140625
90,1770846216.022092,186368,-8650.361328125
91,1770846222.700733,188416,-8769.39453125
92,1770846228.961462,190464,-8094.64990234375
93,1770846235.546679,192512,-8128.41650390625
94,1770846242.104644,194560,-8339.22265625
95,1770846248.900574,196608,-8434.1826171875
96,1770846256.7510788,198656,-8353.68359375
97,1770846262.921029,200704,-8208.939453125
