,wall_time,step,value
0,1770831704.4524832,500,-998.9420776367188
1,1770831706.244086,1000,-762.6278076171875
2,1770831708.008976,1500,-806.041259765625
3,1770831709.7718499,2000,-821.9730224609375
4,1770831711.551357,2500,-809.541259765625
5,1770831713.314507,3000,-745.2882690429688
6,1770831715.0933619,3500,-821.260009765625
7,1770831716.962108,4000,-869.8932495117188
8,1770831718.729604,4500,-859.7958984375
9,1770831720.4996312,5000,-852.58349609375
10,1770831722.282454,5500,-854.8695068359375
11,1770831724.071693,6000,-848.8704833984375
12,1770831725.871847,6500,-832.0997924804688
13,1770831727.6608052,7000,-825.42919921875
14,1770831729.4291031,7500,-997.5022583007812
15,1770831731.2149508,8000,-1019.0004272460938
16,1770831733.004139,8500,-991.4056396484375
17,1770831734.757018,9000,-999.9190673828125
18,1770831736.539325,9500,-960.67724609375
19,1770831738.329676,10000,-948.0305786132812
20,1770831740.121689,10500,-944.2302856445312
21,1770831741.9091089,11000,-962.016357421875
22,1770831743.6974552,11500,-952.5035400390625
23,1770831745.6084638,12000,-986.5631103515625
24,1770831747.388074,12500,-988.943359375
25,1770831749.163837,13000,-983.77734375
26,1770831750.940358,13500,-977.7597045898438
27,1770831752.696139,14000,-985.77587890625
28,1770831754.464542,14500,-984.489013671875
29,1770831756.2300951,15000,-1011.2274780273438
30,1770831757.983487,15500,-1011.2274780273438
31,1770831759.759178,16000,-1025.180419921875
32,1770831761.524075,16500,-1024.089599609375
33,1770831763.3012538,17000,-1008.2417602539062
34,1770831765.076266,17500,-991.1699829101562
35,1770831766.833229,18000,-976.528564453125
36,1770831768.608798,18500,-973.0302124023438
37,1770831770.393014,19000,-969.524658203125
38,1770831772.2256699,19500,-957.4505004882812
39,1770831774.009452,20000,-962.1835327148438
40,1770831775.810455,20500,-965.2271728515625
41,1770831777.5980108,21000,-979.0112915039062
42,1770831779.376044,21500,-977.4720458984375
43,1770831781.165846,22000,-971.1654052734375
44,1770831782.956705,22500,-970.9609985351562
45,1770831784.747489,23000,-1016.008544921875
46,1770831786.525551,23500,-1030.3897705078125
47,1770831788.3064299,24000,-1035.759521484375
48,1770831790.0781922,24500,-1006.8419799804688
49,1770831791.859645,25000,-1018.428466796875
50,1770831793.653656,25500,-1018.8526000976562
51,1770831795.383769,26000,-1018.8526000976562
52,1770831797.175034,26500,-1067.564208984375
53,1770831798.914847,27000,-1057.064453125
54,1770831800.762109,27500,-1057.34765625
55,1770831802.531279,28000,-1061.35888671875
56,1770831804.302746,28500,-1084.8487548828125
57,1770831806.068106,29000,-1017.1759643554688
58,1770831807.7945652,29500,-997.561279296875
59,1770831809.565247,30000,-998.3780517578125
60,1770831811.332503,30500,-1013.1723022460938
61,1770831813.053739,31000,-1008.9907836914062
62,1770831814.7805781,31500,-1039.1705322265625
63,1770831816.5700102,32000,-1039.1705322265625
64,1770831818.362156,32500,-1109.5872802734375
65,1770831820.1548958,33000,-1115.3028564453125
66,1770831821.944663,33500,-1124.0845947265625
67,1770831823.7398999,34000,-1154.7901611328125
68,1770831825.5366871,34500,-1161.5576171875
69,1770831827.314281,35000,-1161.5576171875
70,1770831829.1612911,35500,-1192.4232177734375
71,1770831830.943779,36000,-1188.426025390625
72,1770831832.723211,36500,-1180.8896484375
73,1770831834.5047328,37000,-1159.343994140625
74,1770831836.297442,37500,-1171.210205078125
75,1770831838.078851,38000,-1178.035400390625
76,1770831839.86466,38500,-1151.304931640625
77,1770831841.630443,39000,-1138.24462890625
78,1770831843.4148018,39500,-1126.2530517578125
79,1770831845.201536,40000,-1120.3291015625
80,1770831846.979376,40500,-1119.7659912109375
81,1770831848.766795,41000,-1119.7659912109375
82,1770831850.534571,41500,-1217.642578125
83,1770831852.326575,42000,-1209.3731689453125
84,1770831854.115776,42500,-1210.651611328125
85,1770831855.902695,43000,-1220.4150390625
86,1770831857.714143,43500,-1214.9759521484375
87,1770831859.4882472,44000,-1225.76513671875
88,1770831861.2913868,44500,-1242.2750244140625
89,1770831863.088347,45000,-1253.7769775390625
90,1770831864.8698912,45500,-1217.4139404296875
91,1770831866.6385112,46000,-1226.066650390625
92,1770831868.422434,46500,-1222.002197265625
93,1770831870.209622,47000,-1216.4969482421875
94,1770831871.9984472,47500,-1198.5206298828125
95,1770831873.787596,48000,-1224.314453125
96,1770831875.579242,48500,-1233.356689453125
97,1770831877.352606,49000,-1247.4990234375
98,1770831879.1199172,49500,-1252.21923828125
99,1770831880.905781,50000,-1249.8304443359375
100,1770831882.686798,50500,-1250.6142578125
101,1770831884.507127,51000,-1194.6356201171875
102,1770831886.294393,51500,-1194.6356201171875
103,1770831888.084173,52000,-1226.4541015625
104,1770831889.876684,52500,-1251.3525390625
105,1770831891.666949,53000,-1230.7325439453125
106,1770831893.435596,53500,-1224.72607421875
107,1770831895.2097101,54000,-1227.6519775390625
108,1770831896.980201,54500,-1240.084228515625
109,1770831898.7522109,55000,-1240.084228515625
110,1770831900.529669,55500,-1265.724853515625
111,1770831902.296809,56000,-1257.2750244140625
112,1770831904.063515,56500,-1173.3302001953125
113,1770831905.8143969,57000,-1187.2042236328125
114,1770831907.588017,57500,-1130.2105712890625
115,1770831909.351167,58000,-1130.2105712890625
116,1770831911.134793,58500,-1238.1436767578125
117,1770831912.9506402,59000,-1202.8409423828125
118,1770831914.700707,59500,-1217.873046875
119,1770831916.4747362,60000,-1227.7713623046875
120,1770831918.2462249,60500,-1262.3155517578125
121,1770831920.037715,61000,-1262.3155517578125
122,1770831921.824945,61500,-1353.1722412109375
123,1770831923.590496,62000,-1350.3140869140625
124,1770831925.3478022,62500,-1322.9515380859375
125,1770831927.125643,63000,-1367.8763427734375
126,1770831928.907628,63500,-1405.667236328125
127,1770831930.68868,64000,-1405.667236328125
128,1770831932.449503,64500,-1443.4627685546875
129,1770831934.2327812,65000,-1443.4627685546875
130,1770831936.013022,65500,-1506.90185546875
131,1770831937.7577221,66000,-1509.7081298828125
132,1770831939.60006,66500,-1504.7864990234375
133,1770831941.371851,67000,-1550.3314208984375
134,1770831943.151636,67500,-1453.2471923828125
135,1770831944.909857,68000,-1466.0565185546875
136,1770831946.680831,68500,-1466.0565185546875
137,1770831948.4672189,69000,-1534.7493896484375
138,1770831950.2384791,69500,-1581.79345703125
139,1770831952.006909,70000,-1581.79345703125
140,1770831953.784992,70500,-1654.6856689453125
141,1770831955.549974,71000,-1652.81982421875
142,1770831957.304044,71500,-1632.6922607421875
143,1770831959.0907679,72000,-1631.65380859375
144,1770831960.885684,72500,-1649.822265625
145,1770831962.666666,73000,-1654.108154296875
146,1770831964.4322639,73500,-1667.2357177734375
147,1770831966.2026439,74000,-1667.2357177734375
148,1770831968.074791,74500,-1756.2108154296875
149,1770831969.798487,75000,-1762.315185546875
150,1770831971.541501,75500,-1756.4232177734375
151,1770831973.3133838,76000,-1685.1826171875
152,1770831975.086796,76500,-1685.1826171875
153,1770831976.856828,77000,-1773.4849853515625
154,1770831978.6187258,77500,-1779.6832275390625
155,1770831980.405746,78000,-1772.767578125
156,1770831982.178079,78500,-1798.369384765625
157,1770831983.940354,79000,-1805.9144287109375
158,1770831985.709207,79500,-1808.18798828125
159,1770831987.481173,80000,-1787.78271484375
160,1770831989.246203,80500,-1789.9058837890625
161,1770831990.910062,81000,-1789.9058837890625
162,1770831992.56027,81500,-1917.11669921875
163,1770831994.355947,82000,-1917.11669921875
164,1770831996.137696,82500,-2010.8453369140625
165,1770831997.924146,83000,-2014.8218994140625
166,1770831999.71765,83500,-1963.444580078125
167,1770832001.492785,84000,-1963.444580078125
168,1770832003.272311,84500,-2009.7613525390625
169,1770832005.0592241,85000,-2009.7613525390625
170,1770832006.83744,85500,-2104.931396484375
171,1770832008.613408,86000,-2105.512451171875
172,1770832010.3837361,86500,-2137.916015625
173,1770832012.170037,87000,-2157.1806640625
174,1770832013.962444,87500,-2173.279052734375
175,1770832015.7477918,88000,-2175.05419921875
176,1770832017.516695,88500,-2072.4140625
177,1770832019.30621,89000,-2077.433349609375
178,1770832021.072097,89500,-2048.846435546875
179,1770832022.907029,90000,-2035.9810791015625
180,1770832024.668001,90500,-1961.294189453125
181,1770832026.447562,91000,-1965.0157470703125
182,1770832028.230915,91500,-1980.01171875
183,1770832029.9852538,92000,-1974.593505859375
184,1770832031.750993,92500,-1985.717529296875
185,1770832033.5213492,93000,-1985.717529296875
186,1770832035.298979,93500,-1980.2213134765625
187,1770832037.084345,94000,-1982.505615234375
188,1770832038.8546402,94500,-1937.0643310546875
189,1770832040.620955,95000,-1869.0142822265625
190,1770832042.3756711,95500,-1868.6788330078125
191,1770832044.132923,96000,-1868.6788330078125
192,1770832045.9192069,96500,-1941.22802734375
193,1770832047.6857011,97000,-1898.4813232421875
194,1770832049.495563,97500,-1911.3782958984375
195,1770832051.2885911,98000,-1920.07861328125
196,1770832053.0837388,98500,-1848.0589599609375
197,1770832054.872949,99000,-1728.186767578125
198,1770832056.650164,99500,-1728.05029296875
199,1770832058.4127638,100000,-1731.2501220703125
200,1770832060.180226,100500,-1722.1907958984375
201,1770832061.972683,101000,-1695.84521484375
202,1770832063.772253,101500,-1692.4212646484375
203,1770832065.559556,102000,-1692.4212646484375
204,1770832067.334743,102500,-1734.597412109375
205,1770832069.1097221,103000,-1630.4124755859375
206,1770832070.914855,103500,-1624.8939208984375
