,wall_time,step,value
0,1770838078.069885,1325,-1745.174560546875
1,1770838078.932179,2525,-1557.0093994140625
2,1770838079.365775,3115,-1320.533203125
3,1770838080.169485,4164,-1525.79052734375
4,1770838080.758139,4917,-1432.97900390625
5,1770838081.583029,5960,-1500.1553955078125
6,1770838083.128628,7792,-1847.212646484375
7,1770838083.726932,8475,-1727.9798583984375
8,1770838084.602101,9453,-1749.5928955078125
9,1770838085.9894762,10929,-1972.802001953125
10,1770838087.514426,12517,-1931.269775390625
11,1770838088.841268,13832,-1892.960205078125
12,1770838090.0065112,14964,-1796.047119140625
13,1770838091.5099368,16373,-1721.725341796875
14,1770838092.799099,17529,-1654.167724609375
15,1770838094.585637,19099,-1615.3135986328125
16,1770838095.468052,19853,-1552.7154541015625
17,1770838098.010922,22011,-1510.6268310546875
18,1770838099.753238,23488,-1463.846923828125
19,1770838102.210772,25565,-1432.438232421875
20,1770838104.088984,27161,-1393.48095703125
21,1770838106.491851,29208,-1364.228759765625
22,1770838108.1743438,30626,-1336.9664306640625
23,1770838110.744083,32794,-1318.9954833984375
24,1770838113.5609732,35175,-1318.8685302734375
25,1770838116.444196,37625,-1288.9405517578125
26,1770838118.565512,39411,-1262.5169677734375
27,1770838119.6008909,40286,-1244.5557861328125
28,1770838121.210776,41641,-1168.32080078125
29,1770838123.632641,43684,-1158.396240234375
30,1770838124.658837,44551,-1100.19140625
31,1770838126.732738,46311,-969.723876953125
32,1770838129.047828,48273,-967.3951416015625
33,1770838130.2915661,49326,-909.3297119140625
34,1770838131.529331,50379,-767.9134521484375
35,1770838134.9404318,53275,-729.7159423828125
36,1770838137.7729542,55676,-703.7274780273438
37,1770838140.089519,57633,-706.5404663085938
38,1770838141.6613278,58951,-687.2840576171875
39,1770838143.468717,60475,-668.7093505859375
40,1770838144.442411,61299,-636.5234985351562
41,1770838146.8804328,63367,-631.4490966796875
42,1770838148.2156868,64508,-608.6878051757812
43,1770838149.547596,65633,-596.5958251953125
44,1770838152.565064,68193,-585.5595703125
45,1770838154.605031,69918,-572.5820922851562
46,1770838155.5613031,70730,-550.4368286132812
47,1770838158.066462,72848,-555.6423950195312
48,1770838159.944841,74436,-543.8731079101562
49,1770838161.350315,75626,-507.32928466796875
